"Subject_Code","Subject","internal_marks","external_marks","Credits"
"IT601","Software Engineering","NULL","NULL","4.00"
"IT612","Advanced Computer Networks (Elective II)","NULL","NULL","4.00"
"IT622","Machine Human Interface (Elective II)","NULL","NULL","4.00"
"IT632","Computer Graphics and Visualization (Elective II)","NULL","NULL","4.00"
"IT642","Main Frame Systems (Elective II)","NULL","NULL","4.00"
"IT652","Network Security and Encryption (Elective II)","NULL","NULL","4.00"
"IT662","Cloud Computing (Elective II)","NULL","NULL","4.00"
"IT682","Business Analysis and Optimization (Elective II)","NULL","NULL","4.00"
"IT692","Software Testing (Elective II)","NULL","NULL","4.00"
"IT702","Information Retrieval System (Elective IV)","NULL","NULL","4.00"
"IT714","Database Administration(Elective IV)","NULL","NULL","4.00"
"IT724","Artificial Intelligence","NULL","NULL","4.00"
"IT734","System administration(Elective IV)","NULL","NULL","4.00"
"IT744","Digital Image Processing(Elective IV)","NULL","NULL","4.00"
"IT754","Wireless Networks (Elective IV)","NULL","NULL","4.00"
"IT764","System Software (Elective I)","NULL","NULL","4.00"
"IT784","Data Compression(ElectiveIV)","NULL","NULL","4.00"
"IT794","Compiler Construction","NULL","NULL","4.00"
"IT7A4","Network programming (Elective IV)","NULL","NULL","4.00"
"IT7B4","Web security (Elective IV)","NULL","NULL","4.00"
"IT7C4","Big data analytics (Elective IV)","NULL","NULL","4.00"
"IT7D4","Agile Software Development (Elective IV)","NULL","NULL","4.00"
"IT7E4","Secure software engineering (Elective IV)","NULL","NULL","4.00"
"IT7F4","Deep Learning (Elective-IV)","NULL","NULL","4.00"
"MA101","Calculus","NULL","NULL","4.00"
"MA201","Linear Algebra","NULL","NULL","4.00"
"MA302","Engineering Mathematics","NULL","NULL","4.00"
"MA303","Vector Calculus, Complex Variables and Differential Equations","NULL","NULL","4.00"
"MA304","Mathematics for Electrical Engineers","NULL","NULL","5.00"
"MA306","Applied Mathematics.","NULL","NULL","4.00"
"MA401","Probability Distributions and Numerical Methods","NULL","NULL","3.00"
"MA402","Mathematics for Mechanical Engineering","NULL","NULL","4.00"
"MA403","Probability Statistics and Numerical Analysis","NULL","NULL","5.00"
"ME101","Engineering Graphics","NULL","NULL","4.00"
"ME102","Mechanical Workshop Practices","NULL","NULL","1.00"
"ME301","Kinematics","NULL","NULL","3.00"
"ME302","Thermodynamics","NULL","NULL","3.00"
"ME303","Material Technology","NULL","NULL","4.00"
"ME304","Manufacturing Processes I","NULL","NULL","4.00"
"ME305","Industrial Drafting and Machine Design","NULL","NULL","5.00"
"ME321","Thermal and Hydraulics Prime Movers","NULL","NULL","3.00"
"ME401","Dynamics of Machinery I","NULL","NULL","4.00"
"ME402","Metrology and Instrumentation","NULL","NULL","4.00"
"ME403","Manufacturing Processes II","NULL","NULL","4.00"
"ME404","Fluid Mechanics","NULL","NULL","4.00"
"ME405","Seminar","NULL","NULL","1.00"
"ME501","Dynamics of Machinery- II","NULL","NULL","4.00"
"ME502","Power Plant Engineering","NULL","NULL","4.00"
"ME503","Fluid Power Engineering","NULL","NULL","4.00"
"ME504","Heat and Mass Transfer","NULL","NULL","4.00"
"ME505","Control Engineering","NULL","NULL","3.00"
"ME506","Mini Project ? I","NULL","NULL","1.00"
"ME5E1","Department Elective I","NULL","NULL","3.00"
"ME601","Production Technology","NULL","NULL","4.00"
"ME602","Machine Design I","NULL","NULL","4.00"
"ME603","Thermal Engineering","NULL","NULL","4.00"
"ME604","Mini Project ? II","NULL","NULL","1.00"
"ME6E2","Department Elective II","NULL","NULL","3.00"
"ME6E3","Department Elective III","NULL","NULL","3.00"
"ME701","Computer Aided Design","NULL","NULL","4.00"
"ME702","Machine Design II","NULL","NULL","4.00"
"ME703","Production and Industrial Management","NULL","NULL","3.00"
"ME704","Computer aided Manufacturing","NULL","NULL","4.00"
"ME705","Minor Project","NULL","NULL","2.00"
"ME7E4","Department Elective IV","NULL","NULL","3.00"
"ME801","Major Project","NULL","NULL","23.00"
"PY101","Physics","NULL","NULL","3.00"
"SP101","Critical Thinking","NULL","NULL","0.00"
"SP102","Yog and Meditation","NULL","NULL","0.00"
"SP341","Ethics and Values","NULL","NULL","0.00"
"SP343","Entrepreneurship","NULL","NULL","1.00"
"SP344","Community Services","NULL","NULL","0.00"
"SP501","Fractional Course","NULL","NULL","0.00"
"SP601","Capstone Course","NULL","NULL","0.00"
"SP701","Practical Training","NULL","NULL","0.00"
"SS341","Economics For Engineers","NULL","NULL","2.00"
"SS342","ICT Tools and Security","NULL","NULL","1.00"
"SS401","ICT Tools and Security","NULL","NULL","1.00"
"SS561","Creativity and Innovation","NULL","NULL","2.00"
"SS561.","Creativity and Innovation.","NULL","NULL","2.00"
"SS562","Law for Engineers","NULL","NULL","2.00"
"SS701","Organizational Behavior","NULL","NULL","2.00"
